"DS","GCM","OBS","var","scen","files","title"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A12D01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A12L01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A12P01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A14D01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A14L01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A14P01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A18D01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A18L01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A18P01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A22D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
