"V1","V2"
-125.9375,-125.875
-125.875,-125.8125
-125.8125,-125.75
-125.75,-125.6875
-125.6875,-125.625
-125.625,-125.5625
-125.5625,-125.5
-125.5,-125.4375
-125.4375,-125.375
-125.375,-125.3125
-125.3125,-125.25
-125.25,-125.1875
-125.1875,-125.125
-125.125,-125.0625
-125.0625,-125
-125,-124.9375
-124.9375,-124.875
-124.875,-124.8125
-124.8125,-124.75
-124.75,-124.6875
-124.6875,-124.625
-124.625,-124.5625
-124.5625,-124.5
-124.5,-124.4375
-124.4375,-124.375
-124.375,-124.3125
-124.3125,-124.25
-124.25,-124.1875
-124.1875,-124.125
-124.125,-124.0625
-124.0625,-124
-124,-123.9375
-123.9375,-123.875
-123.875,-123.8125
-123.8125,-123.75
-123.75,-123.6875
-123.6875,-123.625
-123.625,-123.5625
-123.5625,-123.5
-123.5,-123.4375
-123.4375,-123.375
-123.375,-123.3125
-123.3125,-123.25
-123.25,-123.1875
-123.1875,-123.125
-123.125,-123.0625
-123.0625,-123
-123,-122.9375
-122.9375,-122.875
-122.875,-122.8125
-122.8125,-122.75
-122.75,-122.6875
-122.6875,-122.625
-122.625,-122.5625
-122.5625,-122.5
-122.5,-122.4375
-122.4375,-122.375
-122.375,-122.3125
-122.3125,-122.25
-122.25,-122.1875
-122.1875,-122.125
-122.125,-122.0625
-122.0625,-122
-122,-121.9375
-121.9375,-121.875
-121.875,-121.8125
-121.8125,-121.75
-121.75,-121.6875
-121.6875,-121.625
-121.625,-121.5625
-121.5625,-121.5
-121.5,-121.4375
-121.4375,-121.375
-121.375,-121.3125
-121.3125,-121.25
-121.25,-121.1875
-121.1875,-121.125
-121.125,-121.0625
-121.0625,-121
-121,-120.9375
-120.9375,-120.875
-120.875,-120.8125
-120.8125,-120.75
-120.75,-120.6875
-120.6875,-120.625
-120.625,-120.5625
-120.5625,-120.5
-120.5,-120.4375
-120.4375,-120.375
-120.375,-120.3125
-120.3125,-120.25
-120.25,-120.1875
-120.1875,-120.125
-120.125,-120.0625
-120.0625,-120
-120,-119.9375
-119.9375,-119.875
-119.875,-119.8125
-119.8125,-119.75
-119.75,-119.6875
-119.6875,-119.625
-119.625,-119.5625
-119.5625,-119.5
-119.5,-119.4375
-119.4375,-119.375
-119.375,-119.3125
-119.3125,-119.25
-119.25,-119.1875
-119.1875,-119.125
-119.125,-119.0625
-119.0625,-119
-119,-118.9375
-118.9375,-118.875
-118.875,-118.8125
-118.8125,-118.75
-118.75,-118.6875
-118.6875,-118.625
-118.625,-118.5625
-118.5625,-118.5
-118.5,-118.4375
-118.4375,-118.375
-118.375,-118.3125
-118.3125,-118.25
-118.25,-118.1875
-118.1875,-118.125
-118.125,-118.0625
-118.0625,-118
-118,-117.9375
-117.9375,-117.875
-117.875,-117.8125
-117.8125,-117.75
-117.75,-117.6875
-117.6875,-117.625
-117.625,-117.5625
-117.5625,-117.5
-117.5,-117.4375
-117.4375,-117.375
-117.375,-117.3125
-117.3125,-117.25
-117.25,-117.1875
-117.1875,-117.125
-117.125,-117.0625
-117.0625,-117
-117,-116.9375
-116.9375,-116.875
-116.875,-116.8125
-116.8125,-116.75
-116.75,-116.6875
-116.6875,-116.625
-116.625,-116.5625
-116.5625,-116.5
-116.5,-116.4375
-116.4375,-116.375
-116.375,-116.3125
-116.3125,-116.25
-116.25,-116.1875
-116.1875,-116.125
-116.125,-116.0625
-116.0625,-116
-116,-115.9375
-115.9375,-115.875
-115.875,-115.8125
-115.8125,-115.75
-115.75,-115.6875
-115.6875,-115.625
-115.625,-115.5625
-115.5625,-115.5
-115.5,-115.4375
-115.4375,-115.375
-115.375,-115.3125
-115.3125,-115.25
-115.25,-115.1875
-115.1875,-115.125
-115.125,-115.0625
-115.0625,-115
-115,-114.9375
-114.9375,-114.875
-114.875,-114.8125
-114.8125,-114.75
-114.75,-114.6875
-114.6875,-114.625
-114.625,-114.5625
-114.5625,-114.5
-114.5,-114.4375
-114.4375,-114.375
-114.375,-114.3125
-114.3125,-114.25
-114.25,-114.1875
-114.1875,-114.125
-114.125,-114.0625
-114.0625,-114
-114,-113.9375
-113.9375,-113.875
-113.875,-113.8125
-113.8125,-113.75
-113.75,-113.6875
-113.6875,-113.625
-113.625,-113.5625
-113.5625,-113.5
-113.5,-113.4375
