"fileName"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"REGCM4_ACCESS_evspsbl_1980to1989.nc"	"evspsbl"	-0.000177	0.000423	0.000423	"10000000"	"0.0000001"
"REGCM4_ACCESS_evspsbl_1990to1999.nc"	"evspsbl"	-0.000161	0.000416	0.000416	"10000000"	"0.0000001"
"REGCM4_ACCESS_evspsbl_2040to2049.nc"	"evspsbl"	-0.000185	0.000471	0.000471	"10000000"	"0.0000001"
"REGCM4_ACCESS_evspsbl_2050to2059.nc"	"evspsbl"	-0.000193	0.00046	0.00046	"10000000"	"0.0000001"
"REGCM4_ACCESS_evspsbl_2080to2089.nc"	"evspsbl"	-0.000225	0.000484	0.000484	"10000000"	"0.0000001"
"REGCM4_ACCESS_evspsbl_2090to2099.nc"	"evspsbl"	-0.000227	0.000455	0.000455	"10000000"	"0.0000001"
"REGCM4_ACCESS_hfss_1980to1989.nc"	"hfss"	-592.25293	2275.979004	2275.979004	"10"	"0.1"
"REGCM4_ACCESS_hfss_1990to1999.nc"	"hfss"	-603.331909	2499.931641	2499.931641	"10"	"0.1"
"REGCM4_ACCESS_hfss_2040to2049.nc"	"hfss"	-748.357239	1690.920898	1690.920898	"10"	"0.1"
"REGCM4_ACCESS_hfss_2050to2059.nc"	"hfss"	-628.298767	1579.408081	1579.408081	"10"	"0.1"
"REGCM4_ACCESS_hfss_2080to2089.nc"	"hfss"	-732.645203	1779.439819	1779.439819	"10"	"0.1"
"REGCM4_ACCESS_hfss_2090to2099.nc"	"hfss"	-659.612854	1123.053101	1123.053101	"10"	"0.1"
"REGCM4_ACCESS_mrso_1980to1989.nc"	"mrso"	5.702363	877.802246	877.802246	"10"	"0.1"
"REGCM4_ACCESS_mrso_1990to1999.nc"	"mrso"	4.215523	907.090637	907.090637	"10"	"0.1"
"REGCM4_ACCESS_mrso_2040to2049.nc"	"mrso"	8.125899	883.542053	883.542053	"10"	"0.1"
"REGCM4_ACCESS_mrso_2050to2059.nc"	"mrso"	5.902231	961.062866	961.062866	"10"	"0.1"
"REGCM4_ACCESS_mrso_2080to2089.nc"	"mrso"	7.354238	932.226501	932.226501	"10"	"0.1"
"REGCM4_ACCESS_mrso_2090to2099.nc"	"mrso"	8.009097	956.893005	956.893005	"10"	"0.1"
"REGCM4_ACCESS_pr_1980to1989.nc"	"pr"	0	0.062964	0.062964	"100000"	"0.00001"
"REGCM4_ACCESS_pr_1990to1999.nc"	"pr"	0	0.059516	0.059516	"100000"	"0.00001"
"REGCM4_ACCESS_pr_2040to2049.nc"	"pr"	0	0.073142	0.073142	"100000"	"0.00001"
"REGCM4_ACCESS_pr_2050to2059.nc"	"pr"	0	0.073358	0.073358	"100000"	"0.00001"
"REGCM4_ACCESS_pr_2080to2089.nc"	"pr"	0	0.065725	0.065725	"100000"	"0.00001"
"REGCM4_ACCESS_pr_2090to2099.nc"	"pr"	0	0.098179	0.098179	"100000"	"0.00001"
"REGCM4_ACCESS_ps_1980to1989.nc"	"ps"	857.518799	1051.790161	1051.790161	"10"	"0.1"
"REGCM4_ACCESS_ps_1990to1999.nc"	"ps"	865.333923	1053.689819	1053.689819	"10"	"0.1"
"REGCM4_ACCESS_ps_2040to2049.nc"	"ps"	868.657959	1057.617676	1057.617676	"10"	"0.1"
"REGCM4_ACCESS_ps_2050to2059.nc"	"ps"	873.056519	1054.784058	1054.784058	"10"	"0.1"
"REGCM4_ACCESS_ps_2080to2089.nc"	"ps"	864.449463	1052.238647	1052.238647	"10"	"0.1"
"REGCM4_ACCESS_ps_2090to2099.nc"	"ps"	853.57312	1048.62854	1048.62854	"10"	"0.1"
"REGCM4_ACCESS_qas_1980to1989.nc"	"qas"	0	0.036084	0.036084	"100000"	"0.00001"
"REGCM4_ACCESS_qas_1990to1999.nc"	"qas"	0	0.031019	0.031019	"1000000"	"0.000001"
"REGCM4_ACCESS_qas_2040to2049.nc"	"qas"	0	0.03593	0.03593	"100000"	"0.00001"
"REGCM4_ACCESS_qas_2050to2059.nc"	"qas"	0.000001	0.036055	0.036055	"100000"	"0.00001"
"REGCM4_ACCESS_qas_2080to2089.nc"	"qas"	0.000001	0.037033	0.037033	"100000"	"0.00001"
"REGCM4_ACCESS_qas_2090to2099.nc"	"qas"	0.000002	0.041059	0.041059	"100000"	"0.00001"
