"fileName"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"REGCM4_ACCESS_sund_1980to1989.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_ACCESS_sund_1990to1999.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_ACCESS_sund_2040to2049.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_ACCESS_sund_2050to2059.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_ACCESS_sund_2080to2089.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_ACCESS_sund_2090to2099.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_CNRM_sund_1980to1989.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_CNRM_sund_1990to1999.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_CNRM_sund_2040to2049.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_CNRM_sund_2050to2059.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_CNRM_sund_2080to2089.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_CNRM_sund_2090to2099.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_GFDL_sund_1980to1989.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_GFDL_sund_1990to1999.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_GFDL_sund_2040to2049.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_GFDL_sund_2050to2059.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_GFDL_sund_2080to2089.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_GFDL_sund_2090to2099.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_IPSL_sund_1980to1989.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_IPSL_sund_1990to1999.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_IPSL_sund_2040to2049.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_IPSL_sund_2050to2059.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_IPSL_sund_2080to2089.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_IPSL_sund_2090to2099.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MIROC_sund_1980to1989.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MIROC_sund_1990to1999.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MIROC_sund_2040to2049.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MIROC_sund_2050to2059.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MIROC_sund_2080to2089.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MIROC_sund_2090to2099.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MRI_sund_1980to1989.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MRI_sund_1990to1999.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MRI_sund_2040to2049.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MRI_sund_2050to2059.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MRI_sund_2080to2089.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
"REGCM4_MRI_sund_2090to2099.nc"	"sund"	0	3600	3600	"100000"	"0.00001"
