HDD	 "heating degree days" 
CDD	 "cooling degree days" 
T2MAX	 "maximum 2-m temperature" 
T2MIN	 "minimum 2-m temperature" 
T2MEAN	 "mean 2-m temperature" 
T2P02	 "2nd percentile 2-m temp" 
T2P05	 "5th percentile 2-m temp" 
T2P10	 "10th percentile 2-m temp" 
T2P25	 "25th percentile 2-m temp" 
T2P50	 "50th percentile 2-m temp" 
T2P75	 "75th percentile 2-m temp" 
T2P90	 "90th percentile 2-m temp" 
T2P95	 "95th percentile 2-m temp" 
T2P98	 "98th percentile 2-m temp" 
T2MAXDAVG	 "max 2-m temp daily avg" 
T2MINDAVG	 "min 2-m temp daily avg" 
PRECIP	 "total precipitation" 
KECOLAVG	 "kinetic energy column avg" 
PWATAVG	 "precipitable water avg" 
SLPAVG	 "sea-level pressure avg" 
Z500AVG	 "500 hPa geopotl hgt avg" 
Q700AVG	 "700 hPa mixing ratio avg" 
T700AVG	 "700 hPa temperature avg" 
WS850AVG	 "850 hPa wind speed avg" 
WS250AVG	 "250 hPa wind speed avg" 
MDRN	 "N days with rain" 
DP01	 "N days >0.1 inch precip" 
DP05	 "N days >0.5 inch precip" 
DP10	 "N days >1.0 inch precip" 
DT00	 "N days Tmin < 0 deg F" 
DT32	 "N days Tmin < 32 deg F" 
DT90	 "N days Tmax > 90 deg F" 
DX32	 "N days Tmax < 32 deg F" 
