"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"CICELO"	"CICELO_d02_wrfextr_CESM"	0	18.042793	18.042793	"1000"	"0.001"
"CICELO"	"CICELO_d02_wrfextr_CNRM"	0	14.962791	14.962791	"1000"	"0.001"
"CLDFLO"	"CLDFLO_d02_wrfextr_CESM"	0	1	1	"10000"	"0.0001"
"CLDFLO"	"CLDFLO_d02_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLDFRA700"	"CLDFRA700_d02_wrfextr_CESM"	0	1	1	"10000"	"0.0001"
"CLDFRA700"	"CLDFRA700_d02_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLDFRA850"	"CLDFRA850_d02_wrfextr_CESM"	0	1	1	"10000"	"0.0001"
"CLDFRA850"	"CLDFRA850_d02_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLIQLO"	"CLIQLO_d02_wrfextr_CESM"	0	2023.264404	2023.264404	"10"	"0.1"
"CLIQLO"	"CLIQLO_d02_wrfextr_CNRM"	0	1196.31604	1196.31604	"10"	"0.1"
"HFX"	"HFX_d02_wrfextr_CESM"	-549.555542	762.53894	762.53894	"10"	"0.1"
"HFX"	"HFX_d02_wrfextr_CNRM"	-324.23822	771.961731	771.961731	"10"	"0.1"
"LH"	"LH_d02_wrfextr_CESM"	-105.375336	1006.277771	1006.277771	"10"	"0.1"
"LH"	"LH_d02_wrfextr_CNRM"	-49.071869	841.516479	841.516479	"10"	"0.1"
"LWDNBC"	"LWDNBC_d02_wrfextr_CESM"	268.417145	451.536163	451.536163	"10"	"0.1"
"LWDNBC"	"LWDNBC_d02_wrfextr_CNRM"	0	447.823792	447.823792	"10"	"0.1"
"LWDNB"	"LWDNB_d02_wrfextr_CESM"	275.952698	477.684753	477.684753	"10"	"0.1"
"LWDNB"	"LWDNB_d02_wrfextr_CNRM"	0	475.495514	475.495514	"10"	"0.1"
"LWDNT"	"LWDNT_d02_wrfextr_CESM"	6.663836	11.149743	11.149743	"1000"	"0.001"
"LWDNT"	"LWDNT_d02_wrfextr_CNRM"	0	11.302979	11.302979	"1000"	"0.001"
"LWUPB"	"LWUPB_d02_wrfextr_CESM"	319.914398	693.55072	693.55072	"10"	"0.1"
"LWUPB"	"LWUPB_d02_wrfextr_CNRM"	0	677.027893	677.027893	"10"	"0.1"
"LWUPTC"	"LWUPTC_d02_wrfextr_CESM"	248.434692	348.999664	348.999664	"10"	"0.1"
"LWUPTC"	"LWUPTC_d02_wrfextr_CNRM"	0	353.124176	353.124176	"10"	"0.1"
"LWUPT"	"LWUPT_d02_wrfextr_CESM"	90.023766	348.999664	348.999664	"10"	"0.1"
"LWUPT"	"LWUPT_d02_wrfextr_CNRM"	0	353.124176	353.124176	"10"	"0.1"
"PBLH"	"PBLH_d02_wrfextr_CESM"	20.16037	3128.569336	3128.569336	"10"	"0.1"
"PBLH"	"PBLH_d02_wrfextr_CNRM"	0	3102.135254	3102.135254	"10"	"0.1"
"PSFC"	"PSFC_d02_wrfextr_CESM"	941.008911	1028.063354	1028.063354	"10"	"0.1"
