"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"Q700"	"Q700_d03_wrfextr_CNRM"	0	0.013447	0.013447	"1000000"	"0.000001"
"Q850"	"Q850_d03_wrfextr_CESM"	0.00004	0.018258	0.018258	"1000000"	"0.000001"
"VE700"	"VE700_d03_wrfextr_CESM"	-23.768133	21.754192	21.754192	"1000"	"0.001"
"VE700"	"VE700_d03_wrfextr_CNRM"	-35.544018	31.414782	31.414782	"1000"	"0.001"
"VE850"	"VE850_d03_wrfextr_CESM"	-25.464193	25.296629	25.296629	"1000"	"0.001"
"VE850"	"VE850_d03_wrfextr_CNRM"	-28.494078	37.783649	37.783649	"100"	"0.01"
"W700"	"W700_d03_wrfextr_CESM"	-9.253358	17.243032	17.243032	"1000"	"0.001"
"W700"	"W700_d03_wrfextr_CNRM"	-8.485706	20.377352	20.377352	"1000"	"0.001"
"W850"	"W850_d03_wrfextr_CESM"	-7.710567	10.552293	10.552293	"1000"	"0.001"
"W850"	"W850_d03_wrfextr_CNRM"	-6.861678	15.175508	15.175508	"1000"	"0.001"
"Z700"	"Z700_d03_wrfextr_CESM"	3048.331543	3272.469727	3272.469727	"10"	"0.1"
"Z700"	"Z700_d03_wrfextr_CNRM"	2963.478516	3264.31958	3264.31958	"10"	"0.1"
"Z850"	"Z850_d03_wrfextr_CESM"	1456.687012	1617.69519	1617.69519	"10"	"0.1"
"Z850"	"Z850_d03_wrfextr_CNRM"	1331.814697	1636.104248	1636.104248	"10"	"0.1"
